Variable,LCA_midpoints
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'acidification')",8.455992471561116e-09
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'climate change')",1.9525839029585027e-05
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'ecotoxicity: freshwater')",7.959733690329422e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'ecotoxicity: marine')",1.0408882518123093e-07
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'ecotoxicity: terrestrial')",6.447384289166832e-06
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'energy resources')",7.36581509958946e-06
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'eutrophication: freshwater')",3.3647631170643324e-10
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'eutrophication: marine')",4.236145778505041e-11
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'human toxicity: carcinogenic')",2.387920107098827e-07
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'human toxicity: non -carcinogenic')",1.4205063201203276e-06
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'ionising radiation')",6.735159276432589e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'land use')",2.9290779092160463e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'material resources')",9.796595311174673e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'ozone depletion')",3.4406683621097266e-12
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'particulate matter formation')",3.3962469252456197e-09
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'photochemical oxidant formation: human health')",2.109451885378687e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",2.416464936686762e-08
LCA_midpoints,"(7, 'ALCA', 'natural gas', 'water use')",3.998131372547984e-08
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'land use')",0.0
LCA_midpoints,"(7, 'ALCA', 'grid electricity', 'material resources')",0.0
