Variable,LCA_midpoints
LCA_midpoints,"(0, 'natural gas', 'acidification')",0.0
LCA_midpoints,"(0, 'natural gas', 'climate change')",-7.548951543867588e-07
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'natural gas', 'energy resources')",0.0
LCA_midpoints,"(0, 'natural gas', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'natural gas', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'natural gas', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'natural gas', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'natural gas', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'natural gas', 'land use')",0.0
LCA_midpoints,"(0, 'natural gas', 'material resources')",0.0
LCA_midpoints,"(0, 'natural gas', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'natural gas', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'natural gas', 'water use')",0.0
LCA_midpoints,"(0, 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(0, 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'grid electricity', 'land use')",0.0
LCA_midpoints,"(0, 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'grid electricity', 'water use')",0.0
LCA_midpoints,"(0, 'diesel', 'acidification')",7240.598236611514
LCA_midpoints,"(0, 'diesel', 'climate change')",1767579.8350376312
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: freshwater')",52931.26986764298
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: marine')",70907.92755854053
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: terrestrial')",7358320.376906762
LCA_midpoints,"(0, 'diesel', 'energy resources')",499601.278326196
LCA_midpoints,"(0, 'diesel', 'eutrophication: freshwater')",269.249151114524
LCA_midpoints,"(0, 'diesel', 'eutrophication: marine')",44.79557189632713
LCA_midpoints,"(0, 'diesel', 'human toxicity: carcinogenic')",35453.96377927026
LCA_midpoints,"(0, 'diesel', 'human toxicity: non -carcinogenic')",6216927.451435418
LCA_midpoints,"(0, 'diesel', 'ionising radiation')",8613.815143555077
LCA_midpoints,"(0, 'diesel', 'land use')",137196.85279372532
LCA_midpoints,"(0, 'diesel', 'material resources')",11984.4384605984
LCA_midpoints,"(0, 'diesel', 'ozone depletion')",0.5951026147999007
LCA_midpoints,"(0, 'diesel', 'particulate matter formation')",4119.650720830695
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: human health')",13482.49326817314
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",13857.006970066908
LCA_midpoints,"(0, 'diesel', 'water use')",3620.299118305757
LCA_midpoints,"(0, 'water', 'acidification')",94.24330862399982
LCA_midpoints,"(0, 'water', 'climate change')",52493.76309599987
LCA_midpoints,"(0, 'water', 'ecotoxicity: freshwater')",7291.993255559982
LCA_midpoints,"(0, 'water', 'ecotoxicity: marine')",9282.41228519999
LCA_midpoints,"(0, 'water', 'ecotoxicity: terrestrial')",322209.3599999998
LCA_midpoints,"(0, 'water', 'energy resources')",21164.028893999966
