Variable,LCA_midpoints
LCA_midpoints,"(0, 'natural gas', 'acidification')",82544.35312416042
LCA_midpoints,"(0, 'natural gas', 'climate change')",162434488.52865863
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: freshwater')",999876.5382290103
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: marine')",1323068.9546262685
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: terrestrial')",80646607.65412793
LCA_midpoints,"(0, 'natural gas', 'energy resources')",54336725.006788775
LCA_midpoints,"(0, 'natural gas', 'eutrophication: freshwater')",3922.1520680038793
LCA_midpoints,"(0, 'natural gas', 'eutrophication: marine')",313.96628288541575
LCA_midpoints,"(0, 'natural gas', 'human toxicity: carcinogenic')",454489.3355586407
LCA_midpoints,"(0, 'natural gas', 'human toxicity: non -carcinogenic')",15280941.437782727
LCA_midpoints,"(0, 'natural gas', 'ionising radiation')",151496.44518621344
LCA_midpoints,"(0, 'natural gas', 'land use')",282793.36434759904
LCA_midpoints,"(0, 'natural gas', 'material resources')",212095.0232606995
LCA_midpoints,"(0, 'natural gas', 'ozone depletion')",31.307144388251658
LCA_midpoints,"(0, 'natural gas', 'particulate matter formation')",35548.741860575195
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: human health')",161596.20819862813
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",181795.7342234562
LCA_midpoints,"(0, 'natural gas', 'water use')",74542.00789653415
LCA_midpoints,"(0, 'grid electricity', 'acidification')",6692.009693959253
LCA_midpoints,"(0, 'grid electricity', 'climate change')",6562184.705896424
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: freshwater')",1797919.9377770512
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: marine')",2232454.4339048043
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: terrestrial')",119927505.72544377
LCA_midpoints,"(0, 'grid electricity', 'energy resources')",2176241.5524755474
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: freshwater')",1237.7496516549068
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: marine')",122.88180493833704
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: carcinogenic')",339507.95847353264
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: non -carcinogenic')",10923590.49043948
LCA_midpoints,"(0, 'grid electricity', 'ionising radiation')",53536.077551674025
LCA_midpoints,"(0, 'grid electricity', 'land use')",1436551.4143032515
LCA_midpoints,"(0, 'grid electricity', 'material resources')",-7138.143673556522
LCA_midpoints,"(0, 'grid electricity', 'ozone depletion')",3.366170102857416
LCA_midpoints,"(0, 'grid electricity', 'particulate matter formation')",4091.7088711968863
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: human health')",11153.349489932067
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",12045.617449126668
LCA_midpoints,"(0, 'grid electricity', 'water use')",68258.49887838423
LCA_midpoints,"(0, 'diesel', 'acidification')",119553.38241809758
LCA_midpoints,"(0, 'diesel', 'climate change')",29185454.16651469
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: freshwater')",873976.4507805787
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: marine')",1170798.6416117197
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: terrestrial')",121497155.51499905
LCA_midpoints,"(0, 'diesel', 'energy resources')",8249183.386848741
LCA_midpoints,"(0, 'diesel', 'eutrophication: freshwater')",4445.716455606999
LCA_midpoints,"(0, 'diesel', 'eutrophication: marine')",739.6435988506471
LCA_midpoints,"(0, 'diesel', 'human toxicity: carcinogenic')",585399.3208058599
LCA_midpoints,"(0, 'diesel', 'human toxicity: non -carcinogenic')",102651007.6624359
LCA_midpoints,"(0, 'diesel', 'ionising radiation')",142227.29977325455
LCA_midpoints,"(0, 'diesel', 'land use')",2265330.4703015457
LCA_midpoints,"(0, 'diesel', 'material resources')",197881.46055409344
LCA_midpoints,"(0, 'diesel', 'ozone depletion')",9.826056930687775
LCA_midpoints,"(0, 'diesel', 'particulate matter formation')",68021.75206546941
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: human health')",222616.6431233552
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",228800.43876567064
LCA_midpoints,"(0, 'diesel', 'water use')",59776.69120904879
LCA_midpoints,"(0, 'water', 'acidification')",187.9090296000004
LCA_midpoints,"(0, 'water', 'climate change')",104665.80840000017
LCA_midpoints,"(0, 'water', 'ecotoxicity: freshwater')",14539.296173999977
LCA_midpoints,"(0, 'water', 'ecotoxicity: marine')",18507.935580000034
LCA_midpoints,"(0, 'water', 'ecotoxicity: terrestrial')",642443.9999999998
LCA_midpoints,"(0, 'water', 'energy resources')",42198.350100000054
LCA_midpoints,"(0, 'water', 'eutrophication: freshwater')",502.8584400000008
LCA_midpoints,"(0, 'water', 'eutrophication: marine')",592.5903456000002
LCA_midpoints,"(0, 'water', 'human toxicity: carcinogenic')",98001.912
LCA_midpoints,"(0, 'water', 'human toxicity: non -carcinogenic')",963666.000000002
LCA_midpoints,"(0, 'water', 'ionising radiation')",754.784093999998
LCA_midpoints,"(0, 'water', 'land use')",12096.69488400002
LCA_midpoints,"(0, 'water', 'material resources')",507.4489943999994
LCA_midpoints,"(0, 'water', 'ozone depletion')",0.04647790320000006
LCA_midpoints,"(0, 'water', 'particulate matter formation')",100.04780412000015
LCA_midpoints,"(0, 'water', 'photochemical oxidant formation: human health')",303.37081739999985
LCA_midpoints,"(0, 'water', 'photochemical oxidant formation: terrestrial ecosystems')",3245.5745243999995
LCA_midpoints,"(0, 'water', 'water use')",13571.483490000015
LCA_midpoints,"(0, 'biochar-chp', 'acidification')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'climate change')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'energy resources')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'land use')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'material resources')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'biochar-chp', 'water use')",0.0
LCA_midpoints,"(0, 'biochar-land', 'acidification')",0.0
LCA_midpoints,"(0, 'biochar-land', 'climate change')",0.0
LCA_midpoints,"(0, 'biochar-land', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-land', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'biochar-land', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'biochar-land', 'energy resources')",0.0
LCA_midpoints,"(0, 'biochar-land', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-land', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'biochar-land', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'biochar-land', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'biochar-land', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'biochar-land', 'land use')",0.0
LCA_midpoints,"(0, 'biochar-land', 'material resources')",0.0
LCA_midpoints,"(0, 'biochar-land', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'biochar-land', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'biochar-land', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'biochar-land', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'biochar-land', 'water use')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'acidification')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'climate change')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'energy resources')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'biochar-disposal', 'eutrophication: marine')",0.0
