Variable,LCA_midpoints
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'diesel', 'acidification')",170662.45340183348
LCA_midpoints,"(0, 'ALCA', 'diesel', 'climate change')",39843797.95714185
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: freshwater')",1600696.114665473
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: marine')",2106798.562684704
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: terrestrial')",142979826.47761878
LCA_midpoints,"(0, 'ALCA', 'diesel', 'energy resources')",11057749.998001553
LCA_midpoints,"(0, 'ALCA', 'diesel', 'eutrophication: freshwater')",5538.025270555152
LCA_midpoints,"(0, 'ALCA', 'diesel', 'eutrophication: marine')",1131.8889949049092
LCA_midpoints,"(0, 'ALCA', 'diesel', 'human toxicity: carcinogenic')",3163140.300120188
LCA_midpoints,"(0, 'ALCA', 'diesel', 'human toxicity: non -carcinogenic')",144748242.58959305
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ionising radiation')",541411.9211368513
LCA_midpoints,"(0, 'ALCA', 'diesel', 'land use')",3313205.560870079
LCA_midpoints,"(0, 'ALCA', 'diesel', 'material resources')",1003377.5277590551
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ozone depletion')",13.159216620358366
LCA_midpoints,"(0, 'ALCA', 'diesel', 'particulate matter formation')",94158.59498032198
LCA_midpoints,"(0, 'ALCA', 'diesel', 'photochemical oxidant formation: human health')",311900.3458723162
LCA_midpoints,"(0, 'ALCA', 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",320727.7141517216
LCA_midpoints,"(0, 'ALCA', 'diesel', 'water use')",85331.22670091674
LCA_midpoints,"(0, 'ALCA', 'water', 'acidification')",5.085832492047287e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'climate change')",2.3087255799232493e-11
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: freshwater')",1.0004874342857268e-12
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: marine')",1.356941379183296e-12
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: terrestrial')",5.189313508481117e-11
LCA_midpoints,"(0, 'ALCA', 'water', 'energy resources')",7.456066699732823e-12
LCA_midpoints,"(0, 'ALCA', 'water', 'eutrophication: freshwater')",6.310205226313036e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'eutrophication: marine')",6.273269524282085e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'human toxicity: carcinogenic')",1.14103846439426e-11
LCA_midpoints,"(0, 'ALCA', 'water', 'human toxicity: non -carcinogenic')",1.0989134488548251e-10
LCA_midpoints,"(0, 'ALCA', 'water', 'ionising radiation')",5.9298590715149445e-12
LCA_midpoints,"(0, 'ALCA', 'water', 'land use')",1.5126329945871602e-12
LCA_midpoints,"(0, 'ALCA', 'water', 'material resources')",2.1321851343647208e-13
LCA_midpoints,"(0, 'ALCA', 'water', 'ozone depletion')",7.844563129276581e-18
LCA_midpoints,"(0, 'ALCA', 'water', 'particulate matter formation')",4.388999263979007e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'photochemical oxidant formation: human health')",4.652646915583431e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'photochemical oxidant formation: terrestrial ecosystems')",4.9200491881381025e-14
LCA_midpoints,"(0, 'ALCA', 'water', 'water use')",1.4716801533931703e-12
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'acidification')",68616.52343999907
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'climate change')",17587780.559999768
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: freshwater')",336117.94019999553
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: marine')",459563.5547999939
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: terrestrial')",9667891.538999872
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'energy resources')",3634641.530999951
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'eutrophication: freshwater')",8150.906042999893
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'eutrophication: marine')",523.270637999993
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'human toxicity: carcinogenic')",587897.5841999922
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'human toxicity: non -carcinogenic')",12469794.236999832
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ionising radiation')",8150.906042999893
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'land use')",183460.10489999756
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'material resources')",16745.448869999775
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ozone depletion')",4.7934060929999385
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'particulate matter formation')",20747.904191999725
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'photochemical oxidant formation: human health')",23267.27753999969
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'photochemical oxidant formation: terrestrial ecosystems')",23562.947789999685
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'water use')",17339.41754999977
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'acidification')",709.0829639999937
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'climate change')",-624110356.5569944
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: freshwater')",5160.825656999954
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: marine')",6846.146081999938
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: terrestrial')",826630.9426799926
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'energy resources')",47720.78412299957
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'eutrophication: freshwater')",20.79011276279981
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'eutrophication: marine')",4.319913184199962
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'human toxicity: carcinogenic')",806.4570329999927
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'human toxicity: non -carcinogenic')",337488.53606999695
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ionising radiation')",851.3989109999922
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'land use')",15767.108864999858
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'material resources')",9462.762089999916
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ozone depletion')",-362.0317949999968
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'particulate matter formation')",749.0312999999932
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'photochemical oxidant formation: human health')",1475.5916609999867
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'photochemical oxidant formation: terrestrial ecosystems')",1518.036767999987
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'water use')",254.67064199999774
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'particulate matter formation')",0.0
