Variable,LCA_midpoints
LCA_midpoints,"(0, 'natural gas', 'acidification')",-2.261405435385767e-10
LCA_midpoints,"(0, 'natural gas', 'climate change')",-4.4500952681801224e-07
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: freshwater')",-2.739286398991679e-09
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: marine')",-3.6247123057364623e-09
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: terrestrial')",-2.209414332924104e-07
LCA_midpoints,"(0, 'natural gas', 'energy resources')",-1.488622305714672e-07
LCA_midpoints,"(0, 'natural gas', 'eutrophication: freshwater')",-1.0745224439099257e-11
LCA_midpoints,"(0, 'natural gas', 'eutrophication: marine')",-8.601497640631804e-13
LCA_midpoints,"(0, 'natural gas', 'human toxicity: carcinogenic')",-1.2451301813598535e-09
LCA_midpoints,"(0, 'natural gas', 'human toxicity: non -carcinogenic')",-4.1864043653276954e-08
LCA_midpoints,"(0, 'natural gas', 'ionising radiation')",-4.1504339378661845e-10
LCA_midpoints,"(0, 'natural gas', 'land use')",-7.747476684016866e-10
LCA_midpoints,"(0, 'natural gas', 'material resources')",-5.810607513012652e-10
LCA_midpoints,"(0, 'natural gas', 'ozone depletion')",-8.576982410838796e-14
LCA_midpoints,"(0, 'natural gas', 'particulate matter formation')",-9.739020904762592e-11
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: human health')",-4.427129533723934e-10
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",-4.980520725439413e-10
LCA_midpoints,"(0, 'natural gas', 'water use')",-2.042171213919802e-10
LCA_midpoints,"(0, 'grid electricity', 'acidification')",-5.414949555415661e-12
LCA_midpoints,"(0, 'grid electricity', 'climate change')",-5.3098995340405984e-09
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: freshwater')",-1.4548164472216747e-09
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: marine')",-1.8064271716866642e-09
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: terrestrial')",-9.704131098260407e-08
LCA_midpoints,"(0, 'grid electricity', 'energy resources')",-1.760941595421172e-09
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: freshwater')",-1.0015454598033103e-12
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: marine')",-9.943183071300156e-14
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: carcinogenic')",-2.7471844077808795e-10
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: non -carcinogenic')",-8.8390026576235e-09
LCA_midpoints,"(0, 'grid electricity', 'ionising radiation')",-4.331959644332529e-11
LCA_midpoints,"(0, 'grid electricity', 'land use')",-1.1624091712292292e-09
LCA_midpoints,"(0, 'grid electricity', 'material resources')",5.775946192443371e-12
LCA_midpoints,"(0, 'grid electricity', 'ozone depletion')",-2.7237918257014864e-15
LCA_midpoints,"(0, 'grid electricity', 'particulate matter formation')",-3.3108734365669075e-12
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: human health')",-9.024915925692757e-12
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",-9.746909199748196e-12
LCA_midpoints,"(0, 'grid electricity', 'water use')",-5.523248546523974e-11
LCA_midpoints,"(0, 'diesel', 'acidification')",9864.147957638828
