Variable,LCA_midpoints
LCA_midpoints,"(0, 'natural gas', 'acidification')",0.0
LCA_midpoints,"(0, 'natural gas', 'climate change')",0.0
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'natural gas', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'natural gas', 'energy resources')",0.0
LCA_midpoints,"(0, 'natural gas', 'eutrophication: freshwater')",5.792912816104945e-10
LCA_midpoints,"(0, 'natural gas', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'natural gas', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'natural gas', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'natural gas', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'natural gas', 'land use')",0.0
LCA_midpoints,"(0, 'natural gas', 'material resources')",0.0
LCA_midpoints,"(0, 'natural gas', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'natural gas', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'natural gas', 'water use')",0.0
LCA_midpoints,"(0, 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(0, 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'grid electricity', 'land use')",0.0
LCA_midpoints,"(0, 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(0, 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'grid electricity', 'water use')",0.0
LCA_midpoints,"(0, 'diesel', 'acidification')",163295.2421458944
LCA_midpoints,"(0, 'diesel', 'climate change')",39863747.1300642
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: freshwater')",1193744.5287906786
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: marine')",1599167.1989460005
LCA_midpoints,"(0, 'diesel', 'ecotoxicity: terrestrial')",165950197.5483703
LCA_midpoints,"(0, 'diesel', 'energy resources')",11267371.708066713
LCA_midpoints,"(0, 'diesel', 'eutrophication: freshwater')",6072.302852892246
LCA_midpoints,"(0, 'diesel', 'eutrophication: marine')",1010.2623458497286
LCA_midpoints,"(0, 'diesel', 'human toxicity: carcinogenic')",799583.5994730003
LCA_midpoints,"(0, 'diesel', 'human toxicity: non -carcinogenic')",140208673.42871645
LCA_midpoints,"(0, 'diesel', 'ionising radiation')",194265.02944942628
LCA_midpoints,"(0, 'diesel', 'land use')",3094163.295143761
LCA_midpoints,"(0, 'diesel', 'material resources')",270281.7801035501
LCA_midpoints,"(0, 'diesel', 'ozone depletion')",13.421187367368981
LCA_midpoints,"(0, 'diesel', 'particulate matter formation')",92909.36191059524
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: human health')",304067.00261649373
LCA_midpoints,"(0, 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",312513.30824473
LCA_midpoints,"(0, 'diesel', 'water use')",81647.6210729472
LCA_midpoints,"(0, 'water', 'acidification')",-5.267174856271595e-16
