Variable,feedstock_storage_capacity
feedstock_storage_capacity,4,73.19999999999999
Variable,feedstock_to_storage
feedstock_to_storage,"(4, 0)",6.100000000000016
feedstock_to_storage,"(4, 1)",6.1
feedstock_to_storage,"(4, 2)",6.1
feedstock_to_storage,"(4, 3)",6.1
feedstock_to_storage,"(4, 4)",6.1
feedstock_to_storage,"(4, 5)",6.1
feedstock_to_storage,"(4, 6)",6.1
feedstock_to_storage,"(4, 7)",6.1
feedstock_to_storage,"(4, 8)",6.1
feedstock_to_storage,"(4, 9)",6.1
feedstock_to_storage,"(4, 10)",6.1
feedstock_to_storage,"(4, 11)",6.1
feedstock_to_storage,"(4, 12)",6.1
feedstock_to_storage,"(4, 13)",6.1
feedstock_to_storage,"(4, 14)",6.1
feedstock_to_storage,"(4, 15)",6.1
feedstock_to_storage,"(4, 16)",6.1
feedstock_to_storage,"(4, 17)",6.1
feedstock_to_storage,"(4, 18)",6.1
feedstock_to_storage,"(4, 19)",6.1
feedstock_to_storage,"(4, 20)",6.1
feedstock_to_storage,"(4, 21)",6.1
feedstock_to_storage,"(4, 22)",6.1
feedstock_to_storage,"(4, 23)",6.1
feedstock_to_storage,"(4, 24)",6.1
feedstock_to_storage,"(4, 25)",6.1
feedstock_to_storage,"(4, 26)",6.1
feedstock_to_storage,"(4, 27)",6.1
feedstock_to_storage,"(4, 28)",6.1
feedstock_to_storage,"(4, 29)",6.1
feedstock_to_storage,"(4, 30)",6.1
feedstock_to_storage,"(4, 31)",6.1
feedstock_to_storage,"(4, 32)",6.1
feedstock_to_storage,"(4, 33)",6.1
feedstock_to_storage,"(4, 34)",6.1
feedstock_to_storage,"(4, 35)",6.1
feedstock_to_storage,"(4, 36)",6.1
feedstock_to_storage,"(4, 37)",6.1
feedstock_to_storage,"(4, 38)",6.1
feedstock_to_storage,"(4, 39)",6.1
feedstock_to_storage,"(4, 40)",6.1
feedstock_to_storage,"(4, 41)",6.1
feedstock_to_storage,"(4, 42)",6.1
feedstock_to_storage,"(4, 43)",6.1
feedstock_to_storage,"(4, 44)",6.1
feedstock_to_storage,"(4, 45)",6.1
feedstock_to_storage,"(4, 46)",6.1
feedstock_to_storage,"(4, 47)",6.1
feedstock_to_storage,"(4, 48)",6.1
feedstock_to_storage,"(4, 49)",6.1
feedstock_to_storage,"(4, 50)",6.1
feedstock_to_storage,"(4, 51)",6.1
feedstock_to_storage,"(4, 52)",6.1
feedstock_to_storage,"(4, 53)",6.1
feedstock_to_storage,"(4, 54)",6.1
feedstock_to_storage,"(4, 55)",6.1
feedstock_to_storage,"(4, 56)",6.1
feedstock_to_storage,"(4, 57)",6.1
feedstock_to_storage,"(4, 58)",6.1
feedstock_to_storage,"(4, 59)",6.1
feedstock_to_storage,"(4, 60)",6.1
feedstock_to_storage,"(4, 61)",6.1
feedstock_to_storage,"(4, 62)",6.1
feedstock_to_storage,"(4, 63)",6.1
feedstock_to_storage,"(4, 64)",6.1
feedstock_to_storage,"(4, 65)",6.1
feedstock_to_storage,"(4, 66)",6.1
feedstock_to_storage,"(4, 67)",6.1
feedstock_to_storage,"(4, 68)",6.1
feedstock_to_storage,"(4, 69)",6.1
