Variable,LCA_midpoints
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'acidification')",-1.1900340386662285e-13
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'climate change')",-2.7479226308291535e-10
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'ecotoxicity: freshwater')",-1.1201942364621823e-12
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'ecotoxicity: marine')",-1.4648693861428543e-12
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'ecotoxicity: terrestrial')",-9.073573315343678e-11
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'energy resources')",-1.0366105126646195e-10
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'eutrophication: freshwater')",-4.7353195438879056e-15
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'eutrophication: marine')",-5.9616392589367655e-16
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'human toxicity: carcinogenic')",-3.3605827093865473e-12
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'human toxicity: non -carcinogenic')",-1.9991158681478948e-11
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'ionising radiation')",-9.478566616218469e-13
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'land use')",-4.1221683032422174e-13
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'material resources')",-1.3787005987226862e-12
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'ozone depletion')",-4.8421429896526885e-17
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'particulate matter formation')",-4.779627534379355e-14
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'photochemical oxidant formation: human health')",-2.968687064199624e-13
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",-3.40075459808183e-13
LCA_midpoints,"(46, 'ALCA', 'natural gas', 'water use')",-5.626675331598348e-13
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(46, 'ALCA', 'grid electricity', 'land use')",0.0
