Variable,LCA_midpoints
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'natural gas', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'grid electricity', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'diesel', 'acidification')",207.79232305425265
LCA_midpoints,"(0, 'ALCA', 'diesel', 'climate change')",48512.342180648884
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: freshwater')",1948.9486851985077
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: marine')",2565.1604018421535
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ecotoxicity: terrestrial')",174086.9752043491
LCA_midpoints,"(0, 'ALCA', 'diesel', 'energy resources')",13463.50948341175
LCA_midpoints,"(0, 'ALCA', 'diesel', 'eutrophication: freshwater')",6.7428957756296235
LCA_midpoints,"(0, 'ALCA', 'diesel', 'eutrophication: marine')",1.3781463878117866
LCA_midpoints,"(0, 'ALCA', 'diesel', 'human toxicity: carcinogenic')",3851.323229022786
LCA_midpoints,"(0, 'ALCA', 'diesel', 'human toxicity: non -carcinogenic')",176240.1335863422
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ionising radiation')",659.2032317583189
LCA_midpoints,"(0, 'ALCA', 'diesel', 'land use')",4034.0371682601453
LCA_midpoints,"(0, 'ALCA', 'diesel', 'material resources')",1221.6755545086235
LCA_midpoints,"(0, 'ALCA', 'diesel', 'ozone depletion')",0.016022177910920744
LCA_midpoints,"(0, 'ALCA', 'diesel', 'particulate matter formation')",114.64404030579456
LCA_midpoints,"(0, 'ALCA', 'diesel', 'photochemical oxidant formation: human health')",379.75838351294453
LCA_midpoints,"(0, 'ALCA', 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",390.5062622916127
LCA_midpoints,"(0, 'ALCA', 'diesel', 'water use')",103.89616152712632
LCA_midpoints,"(0, 'ALCA', 'water', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'water', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-chp', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'acidification')",11.579923919999999
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'climate change')",-10188172.00746
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: freshwater')",84.28064346000001
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: marine')",111.80334995999999
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ecotoxicity: terrestrial')",13499.5817304
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'energy resources')",779.32072494
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'eutrophication: freshwater')",0.33952010738399996
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'eutrophication: marine')",0.070547832276
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'human toxicity: carcinogenic')",13.170124739999999
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'human toxicity: non -carcinogenic')",5511.4729446
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ionising radiation')",13.904063579999999
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'land use')",257.4902097
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'material resources')",154.5349002
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'ozone depletion')",-5.912285099999999
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'particulate matter formation')",12.232314
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'photochemical oxidant formation: human health')",24.09765858
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'photochemical oxidant formation: terrestrial ecosystems')",24.79082304
LCA_midpoints,"(0, 'ALCA', 'biochar-land', 'water use')",4.1589867599999994
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'acidification')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'climate change')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'energy resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'eutrophication: marine')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ionising radiation')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'land use')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'material resources')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'ozone depletion')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'particulate matter formation')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(0, 'ALCA', 'biochar-disposal', 'water use')",0.0
LCA_midpoints,"(0, 'ALCA', 'pyro-bio-oil-chp', 'acidification')",0.0
