Variable,LCA_midpoints
LCA_midpoints,"(10, 'natural gas', 'acidification')",-2.1348176960600516e-13
LCA_midpoints,"(10, 'natural gas', 'climate change')",-4.200990224489949e-10
LCA_midpoints,"(10, 'natural gas', 'ecotoxicity: freshwater')",-2.5859480956569343e-12
LCA_midpoints,"(10, 'natural gas', 'ecotoxicity: marine')",-3.4218101063743297e-12
LCA_midpoints,"(10, 'natural gas', 'ecotoxicity: terrestrial')",-2.0857369236182425e-10
LCA_midpoints,"(10, 'natural gas', 'energy resources')",-1.4052930055186124e-10
LCA_midpoints,"(10, 'natural gas', 'eutrophication: freshwater')",-1.0143734034500106e-14
LCA_midpoints,"(10, 'natural gas', 'eutrophication: marine')",-8.120007623801928e-16
LCA_midpoints,"(10, 'natural gas', 'human toxicity: carcinogenic')",-1.1754309525713314e-12
LCA_midpoints,"(10, 'natural gas', 'human toxicity: non -carcinogenic')",-3.9520600694231595e-11
LCA_midpoints,"(10, 'natural gas', 'ionising radiation')",-3.918103175237777e-13
LCA_midpoints,"(10, 'natural gas', 'land use')",-7.313792593777188e-13
LCA_midpoints,"(10, 'natural gas', 'material resources')",-5.48534444533288e-13
LCA_midpoints,"(10, 'natural gas', 'ozone depletion')",-8.096864694380197e-17
LCA_midpoints,"(10, 'natural gas', 'particulate matter formation')",-9.193855221383264e-14
LCA_midpoints,"(10, 'natural gas', 'photochemical oxidant formation: human health')",-4.179310053586957e-13
LCA_midpoints,"(10, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",-4.701723810285327e-13
LCA_midpoints,"(10, 'natural gas', 'water use')",-1.9278556501376446e-13
LCA_midpoints,"(10, 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(10, 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(10, 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(10, 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(10, 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(10, 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(10, 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(10, 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(10, 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(10, 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(10, 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(10, 'grid electricity', 'land use')",0.0
LCA_midpoints,"(10, 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(10, 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(10, 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(10, 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(10, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(10, 'grid electricity', 'water use')",0.0
LCA_midpoints,"(10, 'diesel', 'acidification')",82.83612999769854
LCA_midpoints,"(10, 'diesel', 'climate change')",20222.013183403622
LCA_midpoints,"(10, 'diesel', 'ecotoxicity: freshwater')",605.5606744659337
LCA_midpoints,"(10, 'diesel', 'ecotoxicity: marine')",811.2227903222902
LCA_midpoints,"(10, 'diesel', 'ecotoxicity: terrestrial')",84182.93121473005
LCA_midpoints,"(10, 'diesel', 'energy resources')",5715.692969841186
LCA_midpoints,"(10, 'diesel', 'eutrophication: freshwater')",3.0803473628348015
LCA_midpoints,"(10, 'diesel', 'eutrophication: marine')",0.5124841478101305
LCA_midpoints,"(10, 'diesel', 'human toxicity: carcinogenic')",405.6113951611451
LCA_midpoints,"(10, 'diesel', 'human toxicity: non -carcinogenic')",71124.81506698923
LCA_midpoints,"(10, 'diesel', 'ionising radiation')",98.54643051450336
LCA_midpoints,"(10, 'diesel', 'land use')",1569.6018425426018
LCA_midpoints,"(10, 'diesel', 'material resources')",137.10807723756955
LCA_midpoints,"(10, 'diesel', 'ozone depletion')",0.006808276878597311
LCA_midpoints,"(10, 'diesel', 'particulate matter formation')",47.13090155041456
LCA_midpoints,"(10, 'diesel', 'photochemical oxidant formation: human health')",154.2465868922664
LCA_midpoints,"(10, 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",158.5312143059406
LCA_midpoints,"(10, 'diesel', 'water use')",41.41806499884927
LCA_midpoints,"(10, 'water', 'acidification')",6.303319725996753e-05
LCA_midpoints,"(10, 'water', 'climate change')",0.035109651522840776
LCA_midpoints,"(10, 'water', 'ecotoxicity: freshwater')",0.0048771382924369805
LCA_midpoints,"(10, 'water', 'ecotoxicity: marine')",0.006208399653663646
LCA_midpoints,"(10, 'water', 'ecotoxicity: terrestrial')",0.2155048081866235
LCA_midpoints,"(10, 'water', 'energy resources')",0.014155237412276417
LCA_midpoints,"(10, 'water', 'eutrophication: freshwater')",0.0001686814907715307
LCA_midpoints,"(10, 'water', 'eutrophication: marine')",0.00019878163507134212
LCA_midpoints,"(10, 'water', 'human toxicity: carcinogenic')",0.03287427892155962
LCA_midpoints,"(10, 'water', 'human toxicity: non -carcinogenic')",0.3232572122799356
LCA_midpoints,"(10, 'water', 'ionising radiation')",0.00025318876259998495
LCA_midpoints,"(10, 'water', 'land use')",0.0040577792160383505
LCA_midpoints,"(10, 'water', 'material resources')",0.00017022137058275485
LCA_midpoints,"(10, 'water', 'ozone depletion')",1.559079330499234e-08
LCA_midpoints,"(10, 'water', 'particulate matter formation')",3.356056377890296e-05
LCA_midpoints,"(10, 'water', 'photochemical oxidant formation: human health')",0.00010176430912765342
LCA_midpoints,"(10, 'water', 'photochemical oxidant formation: terrestrial ecosystems')",0.0010887126587472466
