Variable,LCA_midpoints
LCA_midpoints,"(1, 'natural gas', 'acidification')",1.1774203449022022e-13
LCA_midpoints,"(1, 'natural gas', 'climate change')",2.3169806809164624e-10
LCA_midpoints,"(1, 'natural gas', 'ecotoxicity: freshwater')",1.426233211532237e-12
LCA_midpoints,"(1, 'natural gas', 'ecotoxicity: marine')",1.8872378859669006e-12
LCA_midpoints,"(1, 'natural gas', 'ecotoxicity: terrestrial')",1.150350726675245e-10
LCA_midpoints,"(1, 'natural gas', 'energy resources')",7.750641088932741e-11
LCA_midpoints,"(1, 'natural gas', 'eutrophication: freshwater')",5.59459425858221e-15
LCA_midpoints,"(1, 'natural gas', 'eutrophication: marine')",4.478444316191611e-16
LCA_midpoints,"(1, 'natural gas', 'human toxicity: carcinogenic')",6.482878234237425e-13
LCA_midpoints,"(1, 'natural gas', 'human toxicity: non -carcinogenic')",2.1796877263113883e-11
LCA_midpoints,"(1, 'natural gas', 'ionising radiation')",2.1609594114124828e-13
LCA_midpoints,"(1, 'natural gas', 'land use')",4.0337909013032875e-13
LCA_midpoints,"(1, 'natural gas', 'material resources')",3.025343175977464e-13
LCA_midpoints,"(1, 'natural gas', 'ozone depletion')",4.465680249268178e-17
LCA_midpoints,"(1, 'natural gas', 'particulate matter formation')",5.0707056652754586e-14
LCA_midpoints,"(1, 'natural gas', 'photochemical oxidant formation: human health')",2.305023372173314e-13
LCA_midpoints,"(1, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",2.593151293694969e-13
LCA_midpoints,"(1, 'natural gas', 'water use')",1.0632741468725749e-13
LCA_midpoints,"(1, 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(1, 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(1, 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(1, 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(1, 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(1, 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(1, 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(1, 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(1, 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(1, 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(1, 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(1, 'grid electricity', 'land use')",0.0
LCA_midpoints,"(1, 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(1, 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(1, 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(1, 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(1, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(1, 'grid electricity', 'water use')",0.0
LCA_midpoints,"(1, 'diesel', 'acidification')",177.81225113583335
LCA_midpoints,"(1, 'diesel', 'climate change')",43407.64937641849
LCA_midpoints,"(1, 'diesel', 'ecotoxicity: freshwater')",1299.868870372301
LCA_midpoints,"(1, 'diesel', 'ecotoxicity: marine')",1741.3337697440268
LCA_midpoints,"(1, 'diesel', 'ecotoxicity: terrestrial')",180703.23308102446
LCA_midpoints,"(1, 'diesel', 'energy resources')",12269.045328372536
LCA_midpoints,"(1, 'diesel', 'eutrophication: freshwater')",6.612132880679059
LCA_midpoints,"(1, 'diesel', 'eutrophication: marine')",1.1000750517446976
LCA_midpoints,"(1, 'diesel', 'human toxicity: carcinogenic')",870.6668848720134
LCA_midpoints,"(1, 'diesel', 'human toxicity: non -carcinogenic')",152673.27769938778
LCA_midpoints,"(1, 'diesel', 'ionising radiation')",211.53526428228508
LCA_midpoints,"(1, 'diesel', 'land use')",3369.235586177253
LCA_midpoints,"(1, 'diesel', 'material resources')",294.30993291448266
