Variable,opex_costs
opex_costs,"(55, 0, 'Pyrolysis', 'heat')",0.0
opex_costs,"(55, 0, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(55, 0, 'Pyrolysis', 'disposal')",2.1757999999999686
opex_costs,"(55, 0, 'Pyrolysis', 'transportation')",62.263999999999996
opex_costs,"(55, 0, 'Pyrolysis', 'water')",0.0
opex_costs,"(55, 0, 'Pyrolysis', 'labor')",64.88918047474245
opex_costs,"(55, 0, 'Pyrolysis', 'diesel')",5.34647466
opex_costs,"(55, 0, 'Pyrolysis', 'TPC')",2854.6928668529476
opex_costs,"(55, 0, 'AD', 'heat')",0.0
opex_costs,"(55, 0, 'AD', 'electricity')",0.0
opex_costs,"(55, 0, 'AD', 'disposal')",0.0
opex_costs,"(55, 0, 'AD', 'transportation')",0.0
opex_costs,"(55, 0, 'AD', 'water')",0.0
opex_costs,"(55, 0, 'AD', 'labor')",0.0
opex_costs,"(55, 0, 'AD', 'diesel')",0.0
opex_costs,"(55, 0, 'AD', 'TPC')",0.0
opex_costs,"(55, 0, 'HTL', 'heat')",0.0
opex_costs,"(55, 0, 'HTL', 'electricity')",0.0
opex_costs,"(55, 0, 'HTL', 'disposal')",0.0
opex_costs,"(55, 0, 'HTL', 'transportation')",0.0
opex_costs,"(55, 0, 'HTL', 'water')",0.0
opex_costs,"(55, 0, 'HTL', 'labor')",0.0
opex_costs,"(55, 0, 'HTL', 'diesel')",0.0
opex_costs,"(55, 0, 'HTL', 'TPC')",0.0
opex_costs,"(55, 0, 'HTC', 'heat')",0.0
opex_costs,"(55, 0, 'HTC', 'electricity')",0.0
opex_costs,"(55, 0, 'HTC', 'disposal')",0.0
opex_costs,"(55, 0, 'HTC', 'transportation')",0.0
opex_costs,"(55, 0, 'HTC', 'water')",0.0
opex_costs,"(55, 0, 'HTC', 'labor')",0.0
opex_costs,"(55, 0, 'HTC', 'diesel')",0.0
opex_costs,"(55, 0, 'HTC', 'TPC')",0.0
opex_costs,"(55, 0, 'CHP', 'heat')",0.0
opex_costs,"(55, 0, 'CHP', 'electricity')",0.0
opex_costs,"(55, 0, 'CHP', 'disposal')",0.0
opex_costs,"(55, 0, 'CHP', 'transportation')",0.0
opex_costs,"(55, 0, 'CHP', 'water')",0.0
opex_costs,"(55, 0, 'CHP', 'labor')",0.0
opex_costs,"(55, 0, 'CHP', 'diesel')",0.0
opex_costs,"(55, 0, 'CHP', 'TPC')",65.07415721141773
opex_costs,"(55, 0, 'Feedstock', 'heat')",0.0
opex_costs,"(55, 0, 'Feedstock', 'electricity')",0.0
opex_costs,"(55, 0, 'Feedstock', 'disposal')",0.0
opex_costs,"(55, 0, 'Feedstock', 'transportation')",0.0
opex_costs,"(55, 0, 'Feedstock', 'water')",0.0
opex_costs,"(55, 0, 'Feedstock', 'labor')",0.0
opex_costs,"(55, 0, 'Feedstock', 'diesel')",0.0
opex_costs,"(55, 0, 'Feedstock', 'TPC')",0.0
opex_costs,"(55, 1, 'Pyrolysis', 'heat')",0.0
opex_costs,"(55, 1, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(55, 1, 'Pyrolysis', 'disposal')",2.1635668783146036
opex_costs,"(55, 1, 'Pyrolysis', 'transportation')",61.91392964030812
opex_costs,"(55, 1, 'Pyrolysis', 'water')",0.0
opex_costs,"(55, 1, 'Pyrolysis', 'labor')",64.5243504164599
opex_costs,"(55, 1, 'Pyrolysis', 'diesel')",5.3164148773437345
opex_costs,"(55, 1, 'Pyrolysis', 'TPC')",2838.6427679401077
opex_costs,"(55, 1, 'AD', 'heat')",0.0
opex_costs,"(55, 1, 'AD', 'electricity')",0.0
opex_costs,"(55, 1, 'AD', 'disposal')",0.0
opex_costs,"(55, 1, 'AD', 'transportation')",0.0
opex_costs,"(55, 1, 'AD', 'water')",0.0
opex_costs,"(55, 1, 'AD', 'labor')",0.0
opex_costs,"(55, 1, 'AD', 'diesel')",0.0
opex_costs,"(55, 1, 'AD', 'TPC')",0.0
opex_costs,"(55, 1, 'HTL', 'heat')",0.0
opex_costs,"(55, 1, 'HTL', 'electricity')",0.0
opex_costs,"(55, 1, 'HTL', 'disposal')",0.0
opex_costs,"(55, 1, 'HTL', 'transportation')",0.0
opex_costs,"(55, 1, 'HTL', 'water')",0.0
opex_costs,"(55, 1, 'HTL', 'labor')",0.0
opex_costs,"(55, 1, 'HTL', 'diesel')",0.0
