Variable,LCA_midpoints
LCA_midpoints,"(13, 'natural gas', 'acidification')",0.0
LCA_midpoints,"(13, 'natural gas', 'climate change')",0.0
LCA_midpoints,"(13, 'natural gas', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(13, 'natural gas', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(13, 'natural gas', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(13, 'natural gas', 'energy resources')",0.0
LCA_midpoints,"(13, 'natural gas', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(13, 'natural gas', 'eutrophication: marine')",0.0
LCA_midpoints,"(13, 'natural gas', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(13, 'natural gas', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(13, 'natural gas', 'ionising radiation')",0.0
LCA_midpoints,"(13, 'natural gas', 'land use')",0.0
LCA_midpoints,"(13, 'natural gas', 'material resources')",0.0
LCA_midpoints,"(13, 'natural gas', 'ozone depletion')",0.0
LCA_midpoints,"(13, 'natural gas', 'particulate matter formation')",0.0
LCA_midpoints,"(13, 'natural gas', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(13, 'natural gas', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(13, 'natural gas', 'water use')",0.0
LCA_midpoints,"(13, 'grid electricity', 'acidification')",0.0
LCA_midpoints,"(13, 'grid electricity', 'climate change')",0.0
LCA_midpoints,"(13, 'grid electricity', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(13, 'grid electricity', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(13, 'grid electricity', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(13, 'grid electricity', 'energy resources')",0.0
LCA_midpoints,"(13, 'grid electricity', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(13, 'grid electricity', 'eutrophication: marine')",0.0
LCA_midpoints,"(13, 'grid electricity', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(13, 'grid electricity', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(13, 'grid electricity', 'ionising radiation')",0.0
LCA_midpoints,"(13, 'grid electricity', 'land use')",0.0
LCA_midpoints,"(13, 'grid electricity', 'material resources')",0.0
LCA_midpoints,"(13, 'grid electricity', 'ozone depletion')",0.0
LCA_midpoints,"(13, 'grid electricity', 'particulate matter formation')",0.0
LCA_midpoints,"(13, 'grid electricity', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(13, 'grid electricity', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(13, 'grid electricity', 'water use')",0.0
LCA_midpoints,"(13, 'diesel', 'acidification')",92.76217733307477
LCA_midpoints,"(13, 'diesel', 'climate change')",22645.16670446556
LCA_midpoints,"(13, 'diesel', 'ecotoxicity: freshwater')",678.1235032624771
LCA_midpoints,"(13, 'diesel', 'ecotoxicity: marine')",908.4295987101107
LCA_midpoints,"(13, 'diesel', 'ecotoxicity: terrestrial')",94270.36238867974
LCA_midpoints,"(13, 'diesel', 'energy resources')",6400.5902359821475
LCA_midpoints,"(13, 'diesel', 'eutrophication: freshwater')",3.4494577224538454
LCA_midpoints,"(13, 'diesel', 'eutrophication: marine')",0.5738938480210732
LCA_midpoints,"(13, 'diesel', 'human toxicity: carcinogenic')",454.21479935505533
LCA_midpoints,"(13, 'diesel', 'human toxicity: non -carcinogenic')",79647.52467563991
LCA_midpoints,"(13, 'diesel', 'ionising radiation')",110.35500406865745
LCA_midpoints,"(13, 'diesel', 'land use')",1757.6833256732548
LCA_midpoints,"(13, 'diesel', 'material resources')",153.5373969650889
LCA_midpoints,"(13, 'diesel', 'ozone depletion')",0.007624095755833407
LCA_midpoints,"(13, 'diesel', 'particulate matter formation')",52.77848020674938
LCA_midpoints,"(13, 'diesel', 'photochemical oxidant formation: human health')",172.72957158572547
LCA_midpoints,"(13, 'diesel', 'photochemical oxidant formation: terrestrial ecosystems')",177.52761524088413
LCA_midpoints,"(13, 'diesel', 'water use')",46.38108866653739
LCA_midpoints,"(13, 'water', 'acidification')",0.0
LCA_midpoints,"(13, 'water', 'climate change')",0.0
LCA_midpoints,"(13, 'water', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(13, 'water', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(13, 'water', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(13, 'water', 'energy resources')",0.0
LCA_midpoints,"(13, 'water', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(13, 'water', 'eutrophication: marine')",0.0
LCA_midpoints,"(13, 'water', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(13, 'water', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(13, 'water', 'ionising radiation')",0.0
LCA_midpoints,"(13, 'water', 'land use')",0.0
LCA_midpoints,"(13, 'water', 'material resources')",0.0
LCA_midpoints,"(13, 'water', 'ozone depletion')",0.0
LCA_midpoints,"(13, 'water', 'particulate matter formation')",0.0
LCA_midpoints,"(13, 'water', 'photochemical oxidant formation: human health')",0.0
LCA_midpoints,"(13, 'water', 'photochemical oxidant formation: terrestrial ecosystems')",0.0
LCA_midpoints,"(13, 'water', 'water use')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'acidification')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'climate change')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'ecotoxicity: freshwater')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'ecotoxicity: marine')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'ecotoxicity: terrestrial')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'energy resources')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'eutrophication: freshwater')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'eutrophication: marine')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'human toxicity: carcinogenic')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'human toxicity: non -carcinogenic')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'ionising radiation')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'land use')",0.0
LCA_midpoints,"(13, 'biochar-chp', 'material resources')",0.0
