Variable,opex_costs
opex_costs,"(1, 0, 'Pyrolysis', 'heat')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'disposal')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'transportation')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'water')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'labor')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'diesel')",0.0
opex_costs,"(1, 0, 'Pyrolysis', 'TPC')",0.0
opex_costs,"(1, 0, 'AD', 'heat')",0.0
opex_costs,"(1, 0, 'AD', 'electricity')",0.0
opex_costs,"(1, 0, 'AD', 'disposal')",0.0
opex_costs,"(1, 0, 'AD', 'transportation')",0.0
opex_costs,"(1, 0, 'AD', 'water')",0.0
opex_costs,"(1, 0, 'AD', 'labor')",0.0
opex_costs,"(1, 0, 'AD', 'diesel')",0.0
opex_costs,"(1, 0, 'AD', 'TPC')",0.0
opex_costs,"(1, 0, 'HTL', 'heat')",0.0
opex_costs,"(1, 0, 'HTL', 'electricity')",0.0
opex_costs,"(1, 0, 'HTL', 'disposal')",0.0
opex_costs,"(1, 0, 'HTL', 'transportation')",0.0
opex_costs,"(1, 0, 'HTL', 'water')",0.0
opex_costs,"(1, 0, 'HTL', 'labor')",0.0
opex_costs,"(1, 0, 'HTL', 'diesel')",0.0
opex_costs,"(1, 0, 'HTL', 'TPC')",0.0
opex_costs,"(1, 0, 'HTC', 'heat')",0.0
opex_costs,"(1, 0, 'HTC', 'electricity')",0.0
opex_costs,"(1, 0, 'HTC', 'disposal')",18425.68824
opex_costs,"(1, 0, 'HTC', 'transportation')",15757.972
opex_costs,"(1, 0, 'HTC', 'water')",10767.699999999999
opex_costs,"(1, 0, 'HTC', 'labor')",11206.210562923763
opex_costs,"(1, 0, 'HTC', 'diesel')",10264.148429299203
opex_costs,"(1, 0, 'HTC', 'TPC')",78298.06134685493
opex_costs,"(1, 0, 'CHP', 'heat')",0.0
opex_costs,"(1, 0, 'CHP', 'electricity')",0.0
opex_costs,"(1, 0, 'CHP', 'disposal')",0.0
opex_costs,"(1, 0, 'CHP', 'transportation')",0.0
opex_costs,"(1, 0, 'CHP', 'water')",0.0
opex_costs,"(1, 0, 'CHP', 'labor')",0.0
opex_costs,"(1, 0, 'CHP', 'diesel')",0.0
opex_costs,"(1, 0, 'CHP', 'TPC')",1250.0690606118194
opex_costs,"(1, 0, 'Feedstock', 'heat')",0.0
opex_costs,"(1, 0, 'Feedstock', 'electricity')",0.0
opex_costs,"(1, 0, 'Feedstock', 'disposal')",0.0
opex_costs,"(1, 0, 'Feedstock', 'transportation')",0.0
opex_costs,"(1, 0, 'Feedstock', 'water')",0.0
opex_costs,"(1, 0, 'Feedstock', 'labor')",0.0
opex_costs,"(1, 0, 'Feedstock', 'diesel')",0.0
opex_costs,"(1, 0, 'Feedstock', 'TPC')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'heat')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'disposal')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'transportation')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'water')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'labor')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'diesel')",0.0
opex_costs,"(1, 1, 'Pyrolysis', 'TPC')",0.0
opex_costs,"(1, 1, 'AD', 'heat')",0.0
opex_costs,"(1, 1, 'AD', 'electricity')",0.0
opex_costs,"(1, 1, 'AD', 'disposal')",0.0
opex_costs,"(1, 1, 'AD', 'transportation')",0.0
opex_costs,"(1, 1, 'AD', 'water')",0.0
opex_costs,"(1, 1, 'AD', 'labor')",0.0
opex_costs,"(1, 1, 'AD', 'diesel')",0.0
opex_costs,"(1, 1, 'AD', 'TPC')",0.0
opex_costs,"(1, 1, 'HTL', 'heat')",0.0
opex_costs,"(1, 1, 'HTL', 'electricity')",0.0
opex_costs,"(1, 1, 'HTL', 'disposal')",0.0
opex_costs,"(1, 1, 'HTL', 'transportation')",0.0
opex_costs,"(1, 1, 'HTL', 'water')",0.0
opex_costs,"(1, 1, 'HTL', 'labor')",0.0
opex_costs,"(1, 1, 'HTL', 'diesel')",0.0
opex_costs,"(1, 1, 'HTL', 'TPC')",0.0
opex_costs,"(1, 1, 'HTC', 'heat')",0.0
opex_costs,"(1, 1, 'HTC', 'electricity')",0.0
opex_costs,"(1, 1, 'HTC', 'disposal')",18322.09246539915
opex_costs,"(1, 1, 'HTC', 'transportation')",15669.375075195063
opex_costs,"(1, 1, 'HTC', 'water')",10707.160159770425
opex_costs,"(1, 1, 'HTC', 'labor')",11143.205260300327
opex_costs,"(1, 1, 'HTC', 'diesel')",10206.439735148882
opex_costs,"(1, 1, 'HTC', 'TPC')",77857.84178982566
opex_costs,"(1, 1, 'CHP', 'heat')",0.0
opex_costs,"(1, 1, 'CHP', 'electricity')",0.0
opex_costs,"(1, 1, 'CHP', 'disposal')",0.0
opex_costs,"(1, 1, 'CHP', 'transportation')",0.0
opex_costs,"(1, 1, 'CHP', 'water')",0.0
opex_costs,"(1, 1, 'CHP', 'labor')",0.0
opex_costs,"(1, 1, 'CHP', 'diesel')",0.0
opex_costs,"(1, 1, 'CHP', 'TPC')",1243.0407276154156
opex_costs,"(1, 1, 'Feedstock', 'heat')",0.0
opex_costs,"(1, 1, 'Feedstock', 'electricity')",0.0
opex_costs,"(1, 1, 'Feedstock', 'disposal')",0.0
opex_costs,"(1, 1, 'Feedstock', 'transportation')",0.0
opex_costs,"(1, 1, 'Feedstock', 'water')",0.0
opex_costs,"(1, 1, 'Feedstock', 'labor')",0.0
opex_costs,"(1, 1, 'Feedstock', 'diesel')",0.0
opex_costs,"(1, 1, 'Feedstock', 'TPC')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'heat')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'disposal')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'transportation')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'water')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'labor')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'diesel')",0.0
opex_costs,"(1, 2, 'Pyrolysis', 'TPC')",0.0
opex_costs,"(1, 2, 'AD', 'heat')",0.0
opex_costs,"(1, 2, 'AD', 'electricity')",0.0
opex_costs,"(1, 2, 'AD', 'disposal')",0.0
opex_costs,"(1, 2, 'AD', 'transportation')",0.0
opex_costs,"(1, 2, 'AD', 'water')",0.0
opex_costs,"(1, 2, 'AD', 'labor')",0.0
opex_costs,"(1, 2, 'AD', 'diesel')",0.0
opex_costs,"(1, 2, 'AD', 'TPC')",0.0
opex_costs,"(1, 2, 'HTL', 'heat')",0.0
opex_costs,"(1, 2, 'HTL', 'electricity')",0.0
opex_costs,"(1, 2, 'HTL', 'disposal')",0.0
opex_costs,"(1, 2, 'HTL', 'transportation')",0.0
opex_costs,"(1, 2, 'HTL', 'water')",0.0
opex_costs,"(1, 2, 'HTL', 'labor')",0.0
opex_costs,"(1, 2, 'HTL', 'diesel')",0.0
opex_costs,"(1, 2, 'HTL', 'TPC')",0.0
opex_costs,"(1, 2, 'HTC', 'heat')",0.0
opex_costs,"(1, 2, 'HTC', 'electricity')",0.0
opex_costs,"(1, 2, 'HTC', 'disposal')",18219.07914309942
opex_costs,"(1, 2, 'HTC', 'transportation')",15581.276273821548
opex_costs,"(1, 2, 'HTC', 'water')",10646.960696060905
opex_costs,"(1, 2, 'HTC', 'labor')",11080.554195903664
opex_costs,"(1, 2, 'HTC', 'diesel')",10149.05549980812
opex_costs,"(1, 2, 'HTC', 'TPC')",77420.09730376312
opex_costs,"(1, 2, 'CHP', 'heat')",0.0
opex_costs,"(1, 2, 'CHP', 'electricity')",0.0
opex_costs,"(1, 2, 'CHP', 'disposal')",0.0
opex_costs,"(1, 2, 'CHP', 'transportation')",0.0
opex_costs,"(1, 2, 'CHP', 'water')",0.0
opex_costs,"(1, 2, 'CHP', 'labor')",0.0
opex_costs,"(1, 2, 'CHP', 'diesel')",0.0
opex_costs,"(1, 2, 'CHP', 'TPC')",1236.051910407591
opex_costs,"(1, 2, 'Feedstock', 'heat')",0.0
opex_costs,"(1, 2, 'Feedstock', 'electricity')",0.0
opex_costs,"(1, 2, 'Feedstock', 'disposal')",0.0
opex_costs,"(1, 2, 'Feedstock', 'transportation')",0.0
opex_costs,"(1, 2, 'Feedstock', 'water')",0.0
opex_costs,"(1, 2, 'Feedstock', 'labor')",0.0
opex_costs,"(1, 2, 'Feedstock', 'diesel')",0.0
opex_costs,"(1, 2, 'Feedstock', 'TPC')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'heat')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'electricity')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'disposal')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'transportation')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'water')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'labor')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'diesel')",0.0
opex_costs,"(1, 3, 'Pyrolysis', 'TPC')",0.0
opex_costs,"(1, 3, 'AD', 'heat')",0.0
opex_costs,"(1, 3, 'AD', 'electricity')",0.0
opex_costs,"(1, 3, 'AD', 'disposal')",0.0
opex_costs,"(1, 3, 'AD', 'transportation')",0.0
opex_costs,"(1, 3, 'AD', 'water')",0.0
opex_costs,"(1, 3, 'AD', 'labor')",0.0
opex_costs,"(1, 3, 'AD', 'diesel')",0.0
